Year,GDP_Growth_Pct,Household_Debt_GDP_Pct,Notes,Economic_Stress
2008,1.73,55.0,Global financial crisis. Samak/Somchai govts dissolved by court. Abhisit became PM Dec.,Medium
2009,-0.69,58.0,Recession. First negative growth since 1997 crisis. Red Shirt protests.,High
2010,7.51,61.0,Strong rebound. But Red Shirt crackdown killed 90+. Political instability.,Low
2011,0.84,64.0,Massive floods. GDP nearly flat. Yingluck became PM Aug.,High
2012,7.24,72.0,Post-flood recovery. BOT methodology change added more lenders to debt figure.,Low
2013,2.69,77.0,Growth slowed. Political crisis began Nov. Household debt rising rapidly.,Medium
2014,0.98,79.5,May coup. Near-zero growth. Political vacuum. Household debt approaching 80% threshold.,High
2015,3.13,81.2,Junta stabilization. Household debt crossed 80% 'watchful level' (BOT).,Medium
2016,3.28,79.6,Moderate growth. King Bhumibol died Oct. Brief debt dip.,Low
2017,3.9,78.3,Best growth since 2012. New constitution in effect.,Low
2018,4.19,77.8,Strongest growth in years. Pre-election spending.,Low
2019,2.11,79.8,Growth slowed sharply. Election held Mar. Trade war impact.,Medium
2020,-6.05,89.3,COVID crash. Worst contraction since 1997. Debt surged as GDP denominator shrank.,High
2021,1.57,94.7,Weak recovery. Household debt hit all-time high ~95.5% in Q1. Protests continued.,High
2022,2.46,91.4,Tourism slowly returning. Debt still above 90%.,High
2023,1.92,91.3,Disappointing growth. Election May. Srettha became PM Aug. Debt peaked Q4 at 91.3%.,High
2024,2.8,88.4,Moderate growth. Srettha removed Aug. Paetongtarn became PM. Debt declining slowly.,Medium
2025,2.3,86.4,"Border conflict. Paetongtarn removed. Anutin became PM. Debt at 87.4% Q1, 86.4% Q3.",Medium
