# NOTE: X/Twitter API is listed as a primary source for T4 but is inaccessible without paid credentials (Basic $100/mo, Pro $5000/mo). Full historical archive (pre-2023) requires Pro tier. Data below is sourced from Bangkok Post opinion section only. X API integration should be added when credentials are available using Thai keywords: กัมพูชา, เขมร, ชาตินิยม, ปราสาท, พรมแดน and English: Thailand Cambodia, Preah Vihear, Thai nationalist, #ThaiCambodia.
Year,Nationalist_Intensity_Est,Key_Driver,T4_Nationalist_Sentiment,Notes,Source
2008,3,Preah Vihear UNESCO Listing,High,"UNESCO listed Preah Vihear as Cambodian World Heritage Site July 2008. Mass nationalist mobilization in Thailand — PAD protesters stormed the border area. PM Samak accused of ceding territory. Nationalist sentiment peaked as Yellow Shirts framed border as sovereignty betrayal.",Bangkok Post opinion
2009,2,Post-Preah Vihear Simmering,Medium,"Tensions persist but street mobilization subsides. Abhisit government manages nationalist pressure. Anti-Cambodia sentiment remains elevated online and in media.",Bangkok Post opinion
2010,1,Internal Red-Yellow Focus,Low,"Thai nationalism directed inward — Red Shirt vs Yellow Shirt conflict dominates public attention. Cambodia-focused nationalism temporarily displaced by domestic political crisis.",Bangkok Post opinion
2011,3,Military Clashes — ICJ Ruling,High,"Feb 2011: armed clashes at Preah Vihear kill ~20. ICJ provisional measures order. Nationalist mobilization on both sides. Thai media coverage inflames public sentiment. Both governments accused of exploiting conflict for domestic audiences.",Bangkok Post opinion
2012,1,Post-ICJ Calm,Low,"ICJ ruling (Nov 2013 anticipated). Diplomatic de-escalation. Nationalist sentiment recedes. Yingluck government attempts normalization with Cambodia.",Bangkok Post opinion
2013,1,Internal Political Focus,Low,"PDRC protests dominate public attention from Nov 2013. Nationalist energy directed at internal Thaksin-vs-establishment divide rather than Cambodia.",Bangkok Post opinion
2014,2,Post-Coup Military Nationalism,Medium,"May 2014 coup. NCPO uses patriotic rhetoric to legitimize takeover — 'love the nation' campaigns. Nationalism reoriented toward internal order rather than external threat. Cambodia tensions low.",Bangkok Post opinion
2015,2,NCPO Nationalist Education,Medium,"Junta runs nationwide reconciliation and nationalist education campaigns. Military nationalism institutionalized in schools and media. External nationalist focus (Cambodia) remains low.",Bangkok Post opinion
2016,2,Royal Transition — Nationalist Consolidation,Medium,"King Bhumibol dies Oct 2016. Royalist-nationalist sentiment intensifies around succession. Cambodia not a salient nationalist target. Internal conservative nationalism elevated.",Bangkok Post opinion
2017,1,Junta Stability — Low External Nationalism,Low,"Junta consolidates power. New constitution passed. External nationalist focus (Cambodia) remains suppressed. Internal royalist narrative dominant.",Bangkok Post opinion
2018,1,Pre-Election Low,Low,"Pre-election period. Nationalist discourse begins shifting toward electoral narratives. No significant Cambodia-focused nationalist events.",Bangkok Post opinion
2019,2,Election Nationalism — Thaksin Shadow,Medium,"Mar 2019 elections. Nationalist parties (PPRP) campaign on stability and sovereignty. Pheu Thai associated with Thaksin seen as nationalist liability by royalists. Cambodian nationalism not primary driver.",Bangkok Post opinion
2020,2,Pro-Democracy vs Royalist Nationalism,Medium,"Pro-democracy protests challenge monarchy and military. Counter-nationalist royalist mobilization. Internal identity conflict between liberal and conservative nationalism. Cambodia low salience.",Bangkok Post opinion
2021,2,Sustained Protest — Nationalist Polarization,Medium,"Continued protests. Royalist ultranationalist counter-movement grows. Internal nationalist polarization deepens. Thaksin's return narrative begins fueling conservative nationalist reaction.",Bangkok Post opinion
2022,2,Coalition Nationalism,Medium,"Prayuth suspended/returned. Political maneuvering. Nationalist discourse used by multiple parties to consolidate bases. Cambodia not salient.",Bangkok Post opinion
2023,2,MFP Win Triggers Conservative Nationalist Backlash,Medium,"May 2023: MFP wins election on reform platform but blocked by establishment. Conservative nationalist reaction against MFP's monarchy reform position. Royalist ultranationalism activated. Thaksin returns Aug 2023.",Bangkok Post opinion
2024,3,Border Tensions Escalate — Nationalist Awakening,High,"Border incidents escalate through 2024. Bangkok Post opinion: nationalist social media content grows. Thaksin's political resurgence rekindled ultra-conservative nationalist sentiment. Border dispute framing sharpens. Influencers dominate online discourse with one-sided patriotic content.",Bangkok Post opinion
2025,4,Border Crisis — Nationalist Frenzy,High,"May 28: armed clashes trigger nationalist surge. Paetongtarn phone call leak goes viral — citizens feel sovereignty compromised. Boonsin praised by nationalist groups. Social media influencers dominate with inflammatory patriotic content. Oct 2025: historian Vallibhotama warns ultranationalism inflames Thai-Cambodian conflict via false racial mythology. Nationalist frenzy described explicitly in Bangkok Post (Thitinan Pongsudhirak, Jun 20 2025).",Bangkok Post opinion
2026,4,Anutin Capitalizes on Ultranationalist Base,High,"Feb 2026: Bangkok Post editorial — Anutin 'capitalised on ultranationalist sentiment' since first days in office. Border wall approval and MoU 44 review designed to consolidate ultra-conservative base. Information operations portray Cambodia as grave threat fuelling widespread jingoism.",Bangkok Post opinion
