# NOTE: T5 source is Hun Sen's Facebook page (facebook.com/SamdechHunSen). The page is publicly viewable without login and does not require API credentials — manual browser review is sufficient. WebFetch cannot render Facebook content (returns CSS/config only). All entries below require manual verification by browsing the page directly. Hun Sen's Facebook account became active ~2012; entries prior to 2012 are marked N/A. Hun Sen transitioned from PM to Senate President in August 2023 but remains de facto power.
Year,Provocation_Events_Est,Provocation_Type,T5_Provocation_Signal,Notes,Source
2008,0,Pre-Facebook Period,N/A,Hun Sen Facebook page did not exist. Source unavailable for this year.,N/A — pre-Facebook
2009,0,Pre-Facebook Period,N/A,Hun Sen Facebook page did not exist. Source unavailable for this year.,N/A — pre-Facebook
2010,0,Pre-Facebook Period,N/A,Hun Sen Facebook page did not exist. Source unavailable for this year.,N/A — pre-Facebook
2011,0,Pre-Facebook Period,N/A,Hun Sen Facebook page did not exist. Source unavailable for this year.,N/A — pre-Facebook
2012,1,Early Facebook Activity,Low,Hun Sen Facebook active. No confirmed border provocation posts toward Thailand recorded. Domestic political messaging focus. REQUIRES MANUAL VERIFICATION.,Hun Sen Facebook (manual verification required)
2013,1,Low-Level Activity,Low,Border tensions low. No major Thailand-directed provocation posts identified. Hun Sen focused on CNRP opposition dissolution. REQUIRES MANUAL VERIFICATION.,Hun Sen Facebook (manual verification required)
2014,1,Diplomatic Engagement,Low,Thailand coup May 2014. Hun Sen Facebook reflects cooperative tone with new junta. No border provocation posts recorded. REQUIRES MANUAL VERIFICATION.,Hun Sen Facebook (manual verification required)
2015,1,Quiet Period,Low,No significant provocation posts toward Thailand. Domestic consolidation focus. REQUIRES MANUAL VERIFICATION.,Hun Sen Facebook (manual verification required)
2016,1,Quiet Period,Low,No confirmed Thailand-directed provocation posts. CNRP elimination continues domestically. REQUIRES MANUAL VERIFICATION.,Hun Sen Facebook (manual verification required)
2017,1,Domestic Focus,Low,CNRP formally dissolved Nov 2017. Facebook posts focused on domestic political narrative. No Thailand border provocations. REQUIRES MANUAL VERIFICATION.,Hun Sen Facebook (manual verification required)
2018,1,Post-Election Consolidation,Low,Sham elections July 2018. Facebook posts celebrate domestic result. No Thailand provocation signal. REQUIRES MANUAL VERIFICATION.,Hun Sen Facebook (manual verification required)
2019,1,Low Provocation,Low,No confirmed Facebook provocation posts directed at Thailand. Scam economy compounds expanding along border. REQUIRES MANUAL VERIFICATION.,Hun Sen Facebook (manual verification required)
2020,1,COVID Border Messaging,Low,Facebook posts address COVID border management. Cooperative tone with Thailand on health measures. REQUIRES MANUAL VERIFICATION.,Hun Sen Facebook (manual verification required)
2021,1,Scam Economy Deflection,Low,International pressure on scam compounds builds. Hun Sen Facebook deflects on trafficking allegations. No direct military provocation toward Thailand. REQUIRES MANUAL VERIFICATION.,Hun Sen Facebook (manual verification required)
2022,1,Border MOU Signaling,Low,Facebook begins signaling hardline position on MoU 44 border demarcation. Low-level pressure. REQUIRES MANUAL VERIFICATION.,Hun Sen Facebook (manual verification required)
2023,2,Succession / MOU Escalation,Medium,"Aug 2023: Hun Manet becomes PM. Hun Sen as Senate President uses Facebook to position himself as territorial hardliner. Declares 2000 MoU defunct. Warns Thailand of consequences. REQUIRES MANUAL VERIFICATION.",Hun Sen Facebook (manual verification required)
2024,3,Escalating Facebook Pressure,High,"Hun Sen Facebook posts trade imbalance data ($5.2B Thai exports vs $1.1B Cambodian exports) as leverage. Border closure threat issued. ICJ filing threat posted. Positions Cambodia as aggrieved party. REQUIRES MANUAL VERIFICATION.",Hun Sen Facebook (manual verification required)
2025,5,Full Provocation Cascade,High,"May 30: posts 2009 military photos at Emerald Triangle — 'clearly prove this is Cambodian land.' Jun 15: records and leaks Paetongtarn phone call. Jun 26: visits troops, posts 'strike back' statement. Jul 20: post blaming Thaksin for Thai turmoil. Aug: posts full 17-minute Paetongtarn recording publicly. Dec 9: 'armed forces of all types must strike back at all points where the enemy attacks.' REQUIRES MANUAL VERIFICATION.",Hun Sen Facebook (manual verification required)
2026,3,Sustained Post-Conflict Pressure,High,"Hun Sen continues hardline Facebook signaling. Counter-pressure on Anutin government border wall and MoU 44 review. Maintains nationalist posture as Senate President. REQUIRES MANUAL VERIFICATION.",Hun Sen Facebook (manual verification required)
