# NOTE: T6 sources are Thai MFA (mfa.go.th/en), Cambodian MFA (mfaic.gov.kh), and Khmer Times (khmertimeskh.com). Both MFA websites block direct WebFetch access (URL rejection / 403). Data below is sourced from Khmer Times (accessible) and MFA press releases recovered via search summaries. Direct MFA portal access requires manual browser review.
Year,Channel_Events,Channel_Status,T6_Bilateral_Health,Notes,Source
2008,2,Strained — Active,Medium,"Preah Vihear UNESCO listing July 2008 triggers bilateral crisis. Diplomatic protests exchanged. Ambassador-level relations maintained but strained. Joint boundary commission meetings suspended.",Thai MFA / Khmer Times
2009,1,Ruptured,Low,"Nov 5: Thailand recalls ambassador after Hun Sen appoints Thaksin as economic advisor. Cambodia recalls ambassador the following day. Thailand revokes 2001 maritime MoU. Bilateral channels reduced to chargé d'affaires level. Lowest point since normalization.",Thai MFA / Cambodian MFA
2010,2,Partially Restored,Medium,"Aug 2010: Thaksin resigns from Cambodia advisory role. Ambassadors reappointed to both capitals. JBC meetings resume. Channels repaired but trust fragile following 2009 rupture.",Thai MFA / Cambodian MFA
2011,2,Strained — Active,Medium,"Feb 2011: armed clashes at Preah Vihear during ongoing diplomatic negotiations — clashes break out while Thai officials are in Cambodia. ICJ provisional measures issued. Diplomatic channels remain open but strained.",Thai MFA / Khmer Times
2012,2,Stabilizing,Medium,"Yingluck government pursues normalization with Cambodia. JBC meetings resume. Bilateral trade channels reactivated. Diplomatic relations improving.",Thai MFA / Khmer Times
2013,2,Stable,Medium,"Relations continue to stabilize. Yingluck and Hun Sen maintain working relationship. No major diplomatic incidents. Regular bilateral mechanisms functioning.",Thai MFA / Cambodian MFA
2014,3,Stable — Realigned,Medium,"May 2014 coup. Hun Sen welcomes Prayuth junta — ideological alignment between authoritarian governments. Bilateral channels reoriented under military-to-military framework. Trade and border cooperation continues.",Thai MFA / Cambodian MFA
2015,3,Stable,Medium,"Prayuth-Hun Sen bilateral relationship solid. Regular joint commission meetings. Scam economy compounds beginning to expand along border but not yet a formal diplomatic issue.",Thai MFA / Cambodian MFA
2016,2,Stable,Medium,"Cultural disputes emerge (Lakhon Khol vs khon UNESCO listing). Minor diplomatic friction but channels functioning. Bilateral trade growing.",Khmer Times
2017,2,Stable,Medium,"CNRP dissolution concerns noted by Thailand but not escalated diplomatically. Bilateral channels intact. JBC meetings continue.",Thai MFA / Cambodian MFA
2018,2,Stable,Medium,"Post-sham-election Cambodia. Thailand does not formally protest. Channels maintained. Scam compound expansion continues without formal bilateral attention.",Thai MFA / Cambodian MFA
2019,3,Stable,Medium,"Both countries hold elections. Prayuth returned, Hun Manet preparation begins. Bilateral mechanisms functioning. 70th anniversary of diplomatic relations in planning.",Thai MFA / Cambodian MFA
2020,3,Stable — Cooperative,Medium,"Dec 19: PM exchange of congratulatory letters on 70th anniversary of diplomatic relations. COVID border management coordination. Channels cooperative despite border closures.",Thai MFA / Cambodian MFA / Khmer Times
2021,2,Stable,Medium,"Scam compound issue raised informally. Cambodian migrant worker abuses in Thailand cause friction. Formal channels maintained.",Khmer Times
2022,2,Stable,Medium,"Scam economy pressure intensifies internationally. Thailand-Cambodia formal channels intact. Joint commission meetings ongoing.",Thai MFA / Cambodian MFA
2023,3,Upgrading,High,"Aug 2023: Hun Manet becomes PM. Srettha becomes Thai PM. New bilateral relationship being established. Strategic partnership elevation planned for early 2024.",Thai MFA / Cambodian MFA / Khmer Times
2024,4,Strategic Partnership,High,"Feb 7: relations elevated to Strategic Partnership. 5 MoUs signed. $15B trade target set. Consulates-General announced in Siem Reap and Songkhla. Jun: Thai FM Maris visits Cambodia — positive bilateral meeting. Dec 17: Foreign Ministers phone call — channels active. Relationship at all-time high per Khmer Times.",Thai MFA / Cambodian MFA / Khmer Times
2025,1,Ruptured,Low,"Feb 25: last positive FM bilateral meeting (ASEAN Future Forum sidelines). Apr: Paetongtarn visits Cambodia — last positive high-level contact. May 28: armed clashes. Jun 15: Paetongtarn-Hun Sen phone call leaked — bilateral channel severely damaged. Jul 23: Thailand downgrades relations. Jul 24: Cambodia reciprocates — both countries reduce to second chargé d'affaires level. All embassy staff recalled. Dec 27: China-brokered ceasefire + GBC joint statement — channels partially restored at working level.",Thai MFA / Cambodian MFA / Khmer Times
2026,2,Fragile — Partial Restoration,Low,"Ceasefire in place but contested. Cambodia urges Thailand to implement point 3 of Dec 27 joint declaration. Both sides at second chargé d'affaires level — ambassadors not yet reinstated. Anutin border wall and MoU 44 review undermine channel repair. Japan urges border reopening. International scrutiny ongoing.",Cambodian MFA / Khmer Times
