Year,Political_Civil_Liberties_Raw,Regime_Consolidation,Physical_Violence_Index_Raw,Violence_Capacity,Corruption_Raw,Corruption_Environment
2008,0.512,Low,0.419,Medium,0.897,High
2009,0.505,Low,0.419,Medium,0.897,High
2010,0.495,Low,0.427,Medium,0.897,High
2011,0.495,Low,0.427,Medium,0.897,High
2012,0.484,Low,0.427,Medium,0.897,High
2013,0.445,Medium,0.419,Medium,0.889,High
2014,0.431,Medium,0.414,Medium,0.862,High
2015,0.42,Medium,0.419,Medium,0.862,High
2016,0.361,Medium,0.374,High,0.862,High
2017,0.24,High,0.329,High,0.88,High
2018,0.217,High,0.361,High,0.895,High
2019,0.21,High,0.4,Medium,0.895,High
2020,0.208,High,0.411,Medium,0.895,High
2021,0.197,High,0.324,High,0.895,High
2022,0.237,High,0.313,High,0.895,High
2023,0.21,High,0.161,High,0.895,High
2024,0.196,High,0.127,High,0.895,High
